2018/09/22 23:39:06.016 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2738; Length=173; ExpandedTo=173 
2018/09/22 23:39:06.016 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2738); Length=111; CompressedTo=71
2018/09/22 23:39:06.031 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2738); Length=19520; CompressedTo=6470
2018/09/22 23:39:06.053 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.054 DEBUG 70 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:06.055 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.065 DEBUG 73 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=117
2018/09/22 23:39:06.079 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.079 DEBUG 105 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:06.081 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.095 DEBUG 122 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=117
