SELECT DISTINCT 
"Exceptions: Plunger Surveillance HF","APC HF Production Roll Up"
"Exceptions: Plunger Surveillance HF","APC Latch Valve Failure Tracker"
"Exceptions: Plunger Surveillance HF","APC MV Times"
"Exceptions: Plunger Surveillance HF","APC Output Production Today Projections"
"Exceptions: Plunger Surveillance HF","APC Plunger Surveillance HF"
"Exceptions: Plunger Surveillance HF","APC Production Today Tracker"
"Exceptions: Plunger Surveillance HF","APC Production Today Tracker Clear Variables"
"Exceptions: Plunger Surveillance HF","APC Production Tracker Roll Up - Micro"
"Exceptions: Plunger Surveillance HF","APC Stacked Data Points Creator"
"Exceptions: Plunger Surveillance HF","APC Valve Open No Flow"
"Exceptions: Process Acknowledgements","APC Acknowledged By"
"Exceptions: Process Acknowledgements","APC Reset Exception Acknowledgements"
"Exceptions: Quick Aggregate","APC Acknowledged By"
"Exceptions: Quick Aggregate","APC Battery Ignore All"
"Exceptions: Quick Aggregate","APC Quick Aggregate"
"Exceptions: Route Review Data","APC Delete Route Review Variables"
"Exceptions: Route Review Data","APC Downtime Now"
"Exceptions: Route Review Data","APC Downtime Rollup"
"Exceptions: Route Review Data","APC Roll Up Comments to Battery"
"Exceptions: Route Review Data","APC Route Review Data"
"Exceptions: Route Review Data","APC Route Review EXT Historize"
"Exceptions: Route Review Data","APC Route Review EXT Historize LongTerm"
"Exceptions: Route Review Data - Temp","APC Route Review EXT Historize_Russ"
"Exceptions: Weekly Roll-Up Summary","APC Exception Tracker"
"Field Rollup","APC Base vs Wedge Categorization"
"Field Rollup","APC Field Totals"
"Field Rollup","APC_Delete_PDB_RollupVariables"
"Filtering: Filter Real Time Data","Petroleum Experts Filter - Well Data"
"Filtering: Filter_Filter_Errors","APC Check IFM PVTT Gaps"
"Filtering: Filter_Filter_Errors","APC_Detect_Filter_Errors"
"Forecasting: Choke Defaults","APC Choke Default for Forecast"
"Forecasting: Interface Enabled Check","APC QA Match Results"
"Foreman East West Aggregations","Foreman Dashboard - East_West Aggregations"
"Gas Sales Pressure Calc","Gas Sales Pressure 90d"
"LACT Proving Workflow","LACT Proving Schedule"
"Petex: Preferred Rates","Petroleum Experts Preferred Rates"
"Petex: Well Base Properties","Petroleum Experts Well Base Properties Workflow"
"Plunger Velocity Thresholds","Plunger Velocity Thresholds_Ogueri_v2"
"Reservoir: IVM Well KPI","Petroleum Experts IVM Well KPI"
"Route Review: Lifetime Downtime Summary","APC Historize Downtime"
"Temp: Reset Choke Target","APC Fix Choke Target"
"TRMQCU: BHP Data to Timeseries","TRMQCU_BHP_ResultsV2"
"TRMQCU: Chg Reprocess to Zero","ChgReprocesstoZero"
"TRMQCU: Enabler","APC TRMQCU Enabler"
"TRMQCU: Flags","APC TRMQCU Flags"
